Date;Time;LEVEL;TEMPERATURE;Station_ID
2021-06-10;08:00:00;-0.2466;3.379;BSM1
2021-06-10;08:30:00;-0.2468;3.38;BSM1
2021-06-10;09:00:00;-0.2468;3.381;BSM1
2021-06-10;09:30:00;-0.2475;3.38;BSM1
2021-06-10;10:00:00;-0.2469;3.381;BSM1
2021-06-10;10:30:00;-0.2473;3.381;BSM1
2021-06-10;11:00:00;-0.2473;3.382;BSM1
2021-06-10;11:30:00;-0.2486;3.382;BSM1
2021-06-10;12:00:00;-0.2495;3.383;BSM1
2021-06-10;12:30:00;-0.2494;3.384;BSM1
2021-06-10;13:00:00;-0.2482;3.384;BSM1
2021-06-10;13:30:00;-0.2476;3.385;BSM1
2021-06-10;14:00:00;-0.2488;3.385;BSM1
2021-06-10;14:30:00;-0.2499;3.386;BSM1
2021-06-10;15:00:00;-0.2495;3.386;BSM1
2021-06-10;15:30:00;-0.2498;3.387;BSM1
2021-06-10;16:00:00;-0.2486;3.387;BSM1
2021-06-10;16:30:00;-0.2482;3.387;BSM1
2021-06-10;17:00:00;-0.2479;3.388;BSM1
2021-06-10;17:30:00;-0.2473;3.389;BSM1
2021-06-10;18:00:00;-0.2466;3.389;BSM1
2021-06-10;18:30:00;-0.2464;3.39;BSM1
2021-06-10;19:00:00;-0.2456;3.39;BSM1
2021-06-10;19:30:00;-0.2444;3.391;BSM1
2021-06-10;20:00:00;-0.243;3.392;BSM1
2021-06-10;20:30:00;-0.2431;3.392;BSM1
2021-06-10;21:00:00;-0.2424;3.392;BSM1
2021-06-10;21:30:00;-0.2422;3.393;BSM1
2021-06-10;22:00:00;-0.2418;3.394;BSM1
2021-06-10;22:30:00;-0.2417;3.395;BSM1
2021-06-10;23:00:00;-0.2418;3.395;BSM1
2021-06-10;23:30:00;-0.2406;3.396;BSM1
2021-06-11;00:00:00;-0.2401;3.396;BSM1
2021-06-11;00:30:00;-0.2404;3.396;BSM1
2021-06-11;01:00:00;-0.2404;3.397;BSM1
2021-06-11;01:30:00;-0.2397;3.398;BSM1
2021-06-11;02:00:00;-0.2399;3.399;BSM1
2021-06-11;02:30:00;-0.2405;3.399;BSM1
2021-06-11;03:00:00;-0.2396;3.4;BSM1
2021-06-11;03:30:00;-0.2394;3.401;BSM1
2021-06-11;04:00:00;-0.2394;3.401;BSM1
2021-06-11;04:30:00;-0.2391;3.402;BSM1
2021-06-11;05:00:00;-0.2428;3.402;BSM1
2021-06-11;05:30:00;-0.2416;3.403;BSM1
2021-06-11;06:00:00;-0.2408;3.403;BSM1
2021-06-11;06:30:00;-0.2408;3.403;BSM1
2021-06-11;07:00:00;-0.2405;3.404;BSM1
2021-06-11;07:30:00;-0.2427;3.405;BSM1
2021-06-11;08:00:00;-0.2436;3.405;BSM1
2021-06-11;08:30:00;-0.2437;3.406;BSM1
2021-06-11;09:00:00;-0.2434;3.407;BSM1
2021-06-11;09:30:00;-0.243;3.407;BSM1
2021-06-11;10:00:00;-0.2429;3.408;BSM1
2021-06-11;10:30:00;-0.2427;3.408;BSM1
2021-06-11;11:00:00;-0.2424;3.409;BSM1
2021-06-11;11:30:00;-0.242;3.41;BSM1
2021-06-11;12:00:00;-0.2436;3.41;BSM1
2021-06-11;12:30:00;-0.2449;3.411;BSM1
2021-06-11;13:00:00;-0.2431;3.412;BSM1
2021-06-11;13:30:00;-0.2444;3.412;BSM1
