Date;Time;LEVEL;TEMPERATURE;Station_ID
2020-06-12;00:01:00;0.0114;5.185;HM2
2020-06-12;01:01:00;0.0104;5.188;HM2
2020-06-12;02:01:00;0.0094;5.191;HM2
2020-06-12;03:01:00;0.0083;5.195;HM2
2020-06-12;04:01:00;0.0084;5.198;HM2
2020-06-12;05:01:00;0.0093;5.203;HM2
2020-06-12;06:01:00;0.0098;5.207;HM2
2020-06-12;07:01:00;0.0109;5.213;HM2
2020-06-12;08:01:00;0.0117;5.218;HM2
2020-06-12;09:01:00;0.0124;5.222;HM2
2020-06-12;10:01:00;0.0131;5.225;HM2
2020-06-12;11:01:00;0.0131;5.229;HM2
2020-06-12;12:01:00;0.0235;5.233;HM2
2020-06-12;13:01:00;0.0189;5.237;HM2
2020-06-12;14:01:00;0.0161;5.241;HM2
2020-06-12;15:01:00;0.015;5.245;HM2
2020-06-12;16:01:00;0.0137;5.25;HM2
2020-06-12;17:01:00;0.013;5.255;HM2
2020-06-12;18:01:00;0.0129;5.259;HM2
2020-06-12;19:01:00;0.0122;5.263;HM2
2020-06-12;20:01:00;0.0016;5.267;HM2
2020-06-12;21:01:00;0.0014;5.269;HM2
2020-06-12;22:01:00;0.0014;5.268;HM2
2020-06-12;23:01:00;0.0092;5.271;HM2
2020-06-13;00:01:00;0.0085;5.274;HM2
2020-06-13;01:01:00;0.0085;5.277;HM2
2020-06-13;02:01:00;0.0071;5.28;HM2
2020-06-13;03:01:00;0.0063;5.285;HM2
2020-06-13;04:01:00;0.0053;5.29;HM2
2020-06-13;05:01:00;0.0057;5.295;HM2
2020-06-13;06:01:00;0.0039;5.299;HM2
2020-06-13;07:01:00;0.0034;5.304;HM2
2020-06-13;08:01:00;0.0031;5.308;HM2
2020-06-13;09:01:00;0.0031;5.312;HM2
2020-06-13;10:01:00;0.0031;5.316;HM2
2020-06-13;11:01:00;0.0027;5.32;HM2
2020-06-13;12:01:00;0.0031;5.325;HM2
2020-06-13;13:01:00;0.0027;5.329;HM2
2020-06-13;14:01:00;0.0027;5.333;HM2
2020-06-13;15:01:00;0.0028;5.337;HM2
2020-06-13;16:01:00;0.0019;5.343;HM2
2020-06-13;17:01:00;0.0012;5.348;HM2
2020-06-13;18:01:00;0.0007;5.354;HM2
2020-06-13;19:01:00;0.0003;5.358;HM2
2020-06-13;20:01:00;0.0006;5.361;HM2
2020-06-13;21:01:00;0.0103;5.364;HM2
2020-06-13;22:01:00;0.0091;5.364;HM2
2020-06-13;23:01:00;0.0081;5.366;HM2
2020-06-14;00:01:00;0.0058;5.37;HM2
2020-06-14;01:01:00;0.0049;5.373;HM2
2020-06-14;02:01:00;0.005;5.377;HM2
2020-06-14;03:01:00;0.0047;5.381;HM2
2020-06-14;04:01:00;0.004;5.385;HM2
2020-06-14;05:01:00;0.0046;5.391;HM2
2020-06-14;06:01:00;0.0029;5.397;HM2
2020-06-14;07:01:00;0.0029;5.402;HM2
2020-06-14;08:01:00;0.0024;5.407;HM2
2020-06-14;09:01:00;0.0024;5.412;HM2
2020-06-14;10:01:00;0.0024;5.417;HM2
2020-06-14;11:01:00;0.0028;5.422;HM2
2020-06-14;12:01:00;0.0024;5.426;HM2
2020-06-14;13:01:00;0.0024;5.431;HM2
2020-06-14;14:01:00;0.0021;5.436;HM2
2020-06-14;15:01:00;0.0008;5.441;HM2
2020-06-14;16:01:00;0.0007;5.447;HM2
2020-06-14;17:01:00;0.0002;5.451;HM2
2020-06-14;18:01:00;-0.0002;5.452;HM2
2020-06-14;19:01:00;-0.0003;5.456;HM2
2020-06-14;20:01:00;-0.0003;5.46;HM2
2020-06-14;21:01:00;-0.0004;5.464;HM2
2020-06-14;22:01:00;0.0076;5.467;HM2
2020-06-14;23:01:00;0.006;5.471;HM2
2020-06-15;00:01:00;0.0052;5.475;HM2
2020-06-15;01:01:00;0.0045;5.48;HM2
2020-06-15;02:01:00;0.003;5.484;HM2
2020-06-15;03:01:00;0.0023;5.488;HM2
2020-06-15;04:01:00;0.0023;5.493;HM2
2020-06-15;05:01:00;0.0018;5.497;HM2
2020-06-15;06:01:00;0.002;5.502;HM2
2020-06-15;07:01:00;0.0029;5.507;HM2
