Date;Time;LEVEL;TEMPERATURE;Station_ID
2020-06-12;00:01:00;-0.4167;3.858;VSM1
2020-06-12;01:01:00;-0.4139;3.858;VSM1
2020-06-12;02:01:00;-0.4108;3.858;VSM1
2020-06-12;03:01:00;-0.408;3.858;VSM1
2020-06-12;04:01:00;-0.4087;3.859;VSM1
2020-06-12;05:01:00;-0.4051;3.858;VSM1
2020-06-12;06:01:00;-0.4038;3.86;VSM1
2020-06-12;07:01:00;-0.403;3.862;VSM1
2020-06-12;08:01:00;-0.4005;3.864;VSM1
2020-06-12;09:01:00;-0.4028;3.866;VSM1
2020-06-12;10:01:00;-0.3947;3.868;VSM1
2020-06-12;11:01:00;-0.3895;3.869;VSM1
2020-06-12;12:01:00;-0.3872;3.871;VSM1
2020-06-12;13:01:00;-0.3879;3.873;VSM1
2020-06-12;14:01:00;-0.3831;3.876;VSM1
2020-06-12;15:01:00;-0.3802;3.878;VSM1
2020-06-12;16:01:00;-0.3782;3.881;VSM1
2020-06-12;17:01:00;-0.3813;3.883;VSM1
2020-06-12;18:01:00;-0.3764;3.886;VSM1
2020-06-12;19:01:00;-0.3743;3.888;VSM1
2020-06-12;20:01:00;-0.3726;3.89;VSM1
2020-06-12;21:01:00;-0.3785;3.894;VSM1
2020-06-12;22:01:00;-0.3752;3.896;VSM1
2020-06-12;23:01:00;-0.372;3.898;VSM1
2020-06-13;00:01:00;-0.3706;3.901;VSM1
2020-06-13;01:01:00;-0.3697;3.904;VSM1
2020-06-13;02:01:00;-0.3687;3.907;VSM1
2020-06-13;03:01:00;-0.3688;3.91;VSM1
2020-06-13;04:01:00;-0.3766;3.913;VSM1
2020-06-13;05:01:00;-0.3755;3.916;VSM1
2020-06-13;06:01:00;-0.3737;3.919;VSM1
2020-06-13;07:01:00;-0.3705;3.923;VSM1
2020-06-13;08:01:00;-0.3698;3.927;VSM1
2020-06-13;09:01:00;-0.3684;3.93;VSM1
2020-06-13;10:01:00;-0.3746;3.933;VSM1
2020-06-13;11:01:00;-0.3686;3.936;VSM1
2020-06-13;12:01:00;-0.3673;3.94;VSM1
2020-06-13;13:01:00;-0.3657;3.942;VSM1
2020-06-13;14:01:00;-0.3672;3.946;VSM1
2020-06-13;15:01:00;-0.367;3.95;VSM1
2020-06-13;16:01:00;-0.3727;3.953;VSM1
2020-06-13;17:01:00;-0.3692;3.957;VSM1
2020-06-13;18:01:00;-0.3662;3.96;VSM1
2020-06-13;19:01:00;-0.3662;3.963;VSM1
2020-06-13;20:01:00;-0.3655;3.967;VSM1
2020-06-13;21:01:00;-0.3653;3.969;VSM1
2020-06-13;22:01:00;-0.3707;3.973;VSM1
2020-06-13;23:01:00;-0.3689;3.976;VSM1
2020-06-14;00:01:00;-0.3661;3.978;VSM1
2020-06-14;01:01:00;-0.3643;3.982;VSM1
2020-06-14;02:01:00;-0.3639;3.985;VSM1
2020-06-14;03:01:00;-0.3638;3.989;VSM1
2020-06-14;04:01:00;-0.3632;3.992;VSM1
2020-06-14;05:01:00;-0.371;3.995;VSM1
2020-06-14;06:01:00;-0.3687;4;VSM1
2020-06-14;07:01:00;-0.3688;4.004;VSM1
2020-06-14;08:01:00;-0.3693;4.008;VSM1
