Name;Station;Time;Mean_temp;Max_temp;Min_temp;Precipitation
흀jord Ii;SN71780;2019-01-01;3.1;7.2;1.3;30.1
흀jord Ii;SN71780;2019-01-02;1.8;3.8;-0.5;11.4
흀jord Ii;SN71780;2019-01-03;5.7;7;1.2;5.2
흀jord Ii;SN71780;2019-01-04;6.8;8;6.1;47.8
흀jord Ii;SN71780;2019-01-05;5.5;6.1;4.6;2.1
흀jord Ii;SN71780;2019-01-06;5.9;7.6;4.4;9.6
흀jord Ii;SN71780;2019-01-07;1.6;4.9;0.3;6
흀jord Ii;SN71780;2019-01-08;0.1;1.2;-1;2.9
흀jord Ii;SN71780;2019-01-09;-0.1;1.2;-1.8;8.5
흀jord Ii;SN71780;2019-01-10;4.6;7.5;0.2;9.4
흀jord Ii;SN71780;2019-01-11;2.8;7.3;1.7;16.6
흀jord Ii;SN71780;2019-01-12;0.4;2.7;-0.4;11.4
흀jord Ii;SN71780;2019-01-13;0;2.6;-1.8;4.6
흀jord Ii;SN71780;2019-01-14;0.5;3.1;-2.2;13.7
흀jord Ii;SN71780;2019-01-15;-4.5;0.4;-7.3;5.7
흀jord Ii;SN71780;2019-01-16;-7.5;-5;-10.6;0
흀jord Ii;SN71780;2019-01-17;-5.6;0;-12.1;0.7
흀jord Ii;SN71780;2019-01-18;-1.2;0.4;-3.5;11.2
흀jord Ii;SN71780;2019-01-19;-2.2;0.5;-4.9;14.5
흀jord Ii;SN71780;2019-01-20;-6.5;-1.7;-8.6;6.8
흀jord Ii;SN71780;2019-01-21;-6.9;-4.5;-10.4;0.3
흀jord Ii;SN71780;2019-01-22;-6.2;-2.1;-9.4;2.6
흀jord Ii;SN71780;2019-01-23;-8.8;-6.1;-12.1;0
흀jord Ii;SN71780;2019-01-24;-4.8;-2.7;-8.8;0
흀jord Ii;SN71780;2019-01-25;-3.3;-1.8;-4.8;0
흀jord Ii;SN71780;2019-01-26;-3.8;-2.1;-5.2;0
흀jord Ii;SN71780;2019-01-27;-5;-3.9;-5.9;0
흀jord Ii;SN71780;2019-01-28;-4;-2.3;-6;0
흀jord Ii;SN71780;2019-01-29;-3.5;-1.1;-5.1;0
흀jord Ii;SN71780;2019-01-30;-4.1;-0.9;-8.1;0.1
흀jord Ii;SN71780;2019-01-31;-1.2;0.1;-3.7;0.4
흀jord Ii;SN71780;2019-02-01;-2.3;-0.6;-3.1;0
흀jord Ii;SN71780;2019-02-02;-5.8;-2.6;-7;0
흀jord Ii;SN71780;2019-02-03;-6.3;-5;-7.8;0
흀jord Ii;SN71780;2019-02-04;-7.4;-4.7;-9.3;1.8
흀jord Ii;SN71780;2019-02-05;-10.5;-6.7;-14.2;0
흀jord Ii;SN71780;2019-02-06;-5.8;-0.6;-11.7;0
흀jord Ii;SN71780;2019-02-07;1.6;3.8;-2.6;10.8
흀jord Ii;SN71780;2019-02-08;0.2;2.5;-0.9;0
흀jord Ii;SN71780;2019-02-09;1.4;3.4;-2.2;0.2
흀jord Ii;SN71780;2019-02-10;0.1;1.8;-0.7;5.1
