Name;Station;Time;Mean_temp;Max_temp;Min_temp;Precipitation
Fv17 Rødhammer;SN72200;2019-01-01;1.2;-;-;-
Fv17 Rødhammer;SN72200;2019-01-02;-0.6;-;-;-
Fv17 Rødhammer;SN72200;2019-01-03;3.7;-;-;-
Fv17 Rødhammer;SN72200;2019-01-04;5.3;-;-;-
Fv17 Rødhammer;SN72200;2019-01-05;1.6;-;-;-
Fv17 Rødhammer;SN72200;2019-01-06;3.4;-;-;-
Fv17 Rødhammer;SN72200;2019-01-07;-0.4;-;-;-
Fv17 Rødhammer;SN72200;2019-01-08;-1.1;-;-;-
Fv17 Rødhammer;SN72200;2019-01-09;-2;-;-;-
Fv17 Rødhammer;SN72200;2019-01-10;2.6;-;-;-
Fv17 Rødhammer;SN72200;2019-01-11;1.4;-;-;-
Fv17 Rødhammer;SN72200;2019-01-12;-1.3;-;-;-
Fv17 Rødhammer;SN72200;2019-01-13;-2.5;-;-;-
Fv17 Rødhammer;SN72200;2019-01-14;-2.3;-;-;-
Fv17 Rødhammer;SN72200;2019-01-15;-8;-;-;-
Fv17 Rødhammer;SN72200;2019-01-16;-11.1;-;-;-
Fv17 Rødhammer;SN72200;2019-01-17;-7.9;-;-;-
Fv17 Rødhammer;SN72200;2019-01-20;-8.6;-;-;-
Fv17 Rødhammer;SN72200;2019-01-21;-15.7;-;-;-
Fv17 Rødhammer;SN72200;2019-01-22;-15.5;-;-;-
Fv17 Rødhammer;SN72200;2019-01-23;-19.1;-;-;-
Fv17 Rødhammer;SN72200;2019-01-24;-10.5;-;-;-
Fv17 Rødhammer;SN72200;2019-01-25;-10.8;-;-;-
Fv17 Rødhammer;SN72200;2019-01-26;-6.5;-;-;-
Fv17 Rødhammer;SN72200;2019-01-27;-9.2;-;-;-
Fv17 Rødhammer;SN72200;2019-01-28;-13.9;-;-;-
Fv17 Rødhammer;SN72200;2019-01-29;-13.3;-;-;-
Fv17 Rødhammer;SN72200;2019-01-31;-13.5;-;-;-
Fv17 Rødhammer;SN72200;2019-02-01;-6.4;-;-;-
Fv17 Rødhammer;SN72200;2019-02-02;-8.1;-;-;-
Fv17 Rødhammer;SN72200;2019-02-03;-12.3;-;-;-
Fv17 Rødhammer;SN72200;2019-02-04;-10;-;-;-
Fv17 Rødhammer;SN72200;2019-02-05;-14.4;-;-;-
Fv17 Rødhammer;SN72200;2019-02-06;-10;-;-;-
Fv17 Rødhammer;SN72200;2019-02-07;-3;-;-;-
Fv17 Rødhammer;SN72200;2019-02-08;-4.2;-;-;-
Fv17 Rødhammer;SN72200;2019-02-09;-3.5;-;-;-
Fv17 Rødhammer;SN72200;2019-02-10;-3.3;-;-;-
Fv17 Rødhammer;SN72200;2019-02-11;-2.3;-;-;-
Fv17 Rødhammer;SN72200;2019-02-12;-1.3;-;-;-
Fv17 Rødhammer;SN72200;2019-02-16;3.1;-;-;-
Fv17 Rødhammer;SN72200;2019-02-17;-0.7;-;-;-
Fv17 Rødhammer;SN72200;2019-02-18;-0.2;-;-;-
Fv17 Rødhammer;SN72200;2019-02-19;0.8;-;-;-
Fv17 Rødhammer;SN72200;2019-02-20;-1.7;-;-;-
Fv17 Rødhammer;SN72200;2019-02-21;-2.1;-;-;-
Fv17 Rødhammer;SN72200;2019-02-22;0.1;-;-;-
Fv17 Rødhammer;SN72200;2019-02-23;3.1;-;-;-
Fv17 Rødhammer;SN72200;2019-02-24;4.5;-;-;-
Fv17 Rødhammer;SN72200;2019-02-25;5.6;-;-;-
Fv17 Rødhammer;SN72200;2019-02-26;4.9;-;-;-
Fv17 Rødhammer;SN72200;2019-02-27;4.6;-;-;-
Fv17 Rødhammer;SN72200;2019-02-28;1.1;-;-;-
Fv17 Rødhammer;SN72200;2019-03-01;-0.4;-;-;-
Fv17 Rødhammer;SN72200;2019-03-02;-0.2;-;-;-
Fv17 Rødhammer;SN72200;2019-03-03;-3.7;-;-;-
Fv17 Rødhammer;SN72200;2019-03-04;-7;-;-;-
Fv17 Rødhammer;SN72200;2019-03-05;-12;-;-;-
Fv17 Rødhammer;SN72200;2019-03-06;-12.7;-;-;-
Fv17 Rødhammer;SN72200;2019-03-07;-9.6;-;-;-
Fv17 Rødhammer;SN72200;2019-03-08;-4;-;-;-
Fv17 Rødhammer;SN72200;2019-03-09;-6.8;-;-;-
Fv17 Rødhammer;SN72200;2019-03-10;-11.2;-;-;-
Fv17 Rødhammer;SN72200;2019-03-11;-8.1;-;-;-
Fv17 Rødhammer;SN72200;2019-03-12;-7.8;-;-;-
Fv17 Rødhammer;SN72200;2019-03-13;-2.4;-;-;-
Fv17 Rødhammer;SN72200;2019-03-14;-0.8;-;-;-
Fv17 Rødhammer;SN72200;2019-03-15;-0.4;-;-;-
Fv17 Rødhammer;SN72200;2019-03-16;-0.5;-;-;-
Fv17 Rødhammer;SN72200;2019-03-17;-1.6;-;-;-
Fv17 Rødhammer;SN72200;2019-03-18;-0.5;-;-;-
Fv17 Rødhammer;SN72200;2019-03-19;0.5;-;-;-
Fv17 Rødhammer;SN72200;2019-03-20;2.3;-;-;-
Fv17 Rødhammer;SN72200;2019-03-21;2.4;-;-;-
Fv17 Rødhammer;SN72200;2019-03-22;2.6;-;-;-
